player_id,player_name,player_market_value,player_kit_number,player_position,player_nationality,player_nat_flag_pic,player_portrait_pic,player_birth_date,team_id,league_id
1767,Jahmai Simpson-Pusey,6000000.0,22.0,Centre-Back,England,https://tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/942497-1699384753.jpg?lm=1,2005-11-04,65,3
1768,Joël Schmied,3500000.0,2.0,Centre-Back,Switzerland,https://tmssl.akamaized.net//images/flagge/verysmall/148.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/322517-1752737253.jpg?lm=1,1998-09-23,65,3
1769,Cenk Özkacar,3000000.0,39.0,Centre-Back,Türkiye,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/615350-1641457298.jpg?lm=1,2000-10-06,65,3
1770,Timo Hübers,2500000.0,4.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/236981-1721140491.jpg?lm=1,1996-07-20,65,3
1771,Dominique Heintz,700000.0,3.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/110036-1721140583.jpg?lm=1,1993-08-15,65,3
1772,Luca Kilian,100000.0,15.0,Centre-Back,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/384553-1691252067.jpg?lm=1,1999-09-01,65,3
1773,Kristoffer Lund,4000000.0,32.0,Left-Back,United States,https://tmssl.akamaized.net//images/flagge/verysmall/184.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/623773-1671206846.jpg?lm=1,2002-05-14,65,3
1774,Sebastian Sebulonsen,5500000.0,28.0,Right-Back,Norway,https://tmssl.akamaized.net//images/flagge/verysmall/125.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/592387-1752841294.jpg?lm=1,2000-01-27,65,3
1775,Eric Martel,8000000.0,6.0,Defensive Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/597000-1657110079.jpg?lm=1,2002-04-29,65,3
1776,Tom Krauß,4500000.0,5.0,Defensive Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/405687-1752739063.jpg?lm=1,2001-06-22,65,3
1777,Fayssal Harchaoui,200000.0,34.0,Defensive Midfield,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/890532-1752743471.jpg?lm=1,2006-01-15,65,3
1778,Ísak Jóhannesson,8000000.0,18.0,Central Midfield,Iceland,https://tmssl.akamaized.net//images/flagge/verysmall/73.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/579565-1722890599.jpg?lm=1,2003-03-23,65,3
1779,Denis Huseinbasic,3000000.0,8.0,Central Midfield,Bosnia-Herzegovina,https://tmssl.akamaized.net//images/flagge/verysmall/24.png?lm=1569523290,https://img.a.transfermarkt.technology/portrait/medium/678479-1721140225.jpg?lm=1,2001-07-03,65,3
1780,Felipe Chávez,2000000.0,27.0,Central Midfield,Peru,https://tmssl.akamaized.net//images/flagge/verysmall/133.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/1009441-1758891246.jpg?lm=1,2007-04-10,65,3
1781,Alessio Castro-Montes,3000000.0,17.0,Right Midfield,Belgium,https://tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/340166-1714468225.png?lm=1,1997-05-17,65,3
1782,Florian Kainz,1000000.0,11.0,Attacking Midfield,Austria,https://tmssl.akamaized.net//images/flagge/verysmall/127.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/106270-1721140143.jpg?lm=1,1992-10-24,65,3
1783,Said El Mala,35000000.0,13.0,Left Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/1168219-1761497362.jpg?lm=1,2006-08-26,65,3
1784,Jakub Kamiński,12000000.0,16.0,Left Winger,Poland,https://tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1520611569,https://img.a.transfermarkt.technology/portrait/medium/407098-1752743041.jpg?lm=1,2002-06-05,65,3
1785,Linton Maina,3000000.0,37.0,Left Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/335103-1721139567.jpg?lm=1,1999-06-23,65,3
1786,Marius Bülter,2000000.0,30.0,Left Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/116088-1691269482.jpg?lm=1,1993-03-29,65,3
1787,Jan Thielmann,5000000.0,29.0,Right Winger,Germany,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,https://img.a.transfermarkt.technology/portrait/medium/472249-1721139731.jpg?lm=1,2002-05-26,65,3
