team_id,team_name,league_id,league_name,team_url
119,Stade Rennais FC,5,Ligue 1,/fc-stade-rennes/startseite/verein/273/saison_id/2022
120,Boavista FC,6,Liga Portugal,/boavista-porto-fc/startseite/verein/2503/saison_id/2022
121,CF Estrela Amadora SAD,6,Liga Portugal,/cf-estrela-amadora-sad/startseite/verein/2431/saison_id/2022
122,Casa Pia AC,6,Liga Portugal,/casa-pia-ac/startseite/verein/3268/saison_id/2022
123,FC Arouca,6,Liga Portugal,/fc-arouca/startseite/verein/8024/saison_id/2022
124,FC Famalicão,6,Liga Portugal,/fc-famalicao/startseite/verein/3329/saison_id/2022
125,FC Porto,6,Liga Portugal,/fc-porto/startseite/verein/720/saison_id/2022
126,FC Vizela,6,Liga Portugal,/fc-vizela/startseite/verein/6912/saison_id/2022
127,GD Chaves,6,Liga Portugal,/gd-chaves/startseite/verein/3325/saison_id/2022
128,GD Estoril Praia,6,Liga Portugal,/gd-estoril-praia/startseite/verein/1465/saison_id/2022
129,Gil Vicente FC,6,Liga Portugal,/gil-vicente-fc/startseite/verein/2424/saison_id/2022
130,Moreirense FC,6,Liga Portugal,/moreirense-fc/startseite/verein/979/saison_id/2022
131,Portimonense SC,6,Liga Portugal,/portimonense-sc/startseite/verein/7378/saison_id/2022
132,Rio Ave FC,6,Liga Portugal,/rio-ave-fc/startseite/verein/2425/saison_id/2022
133,SC Braga,6,Liga Portugal,/sc-braga/startseite/verein/1075/saison_id/2022
134,SC Farense,6,Liga Portugal,/sc-farense/startseite/verein/4294/saison_id/2022
135,SL Benfica,6,Liga Portugal,/benfica-lissabon/startseite/verein/294/saison_id/2022
136,Sporting CP,6,Liga Portugal,/sporting-lissabon/startseite/verein/336/saison_id/2022
137,Vitória Guimarães SC,6,Liga Portugal,/vitoria-guimaraes-sc/startseite/verein/2420/saison_id/2022
138,AZ Alkmaar,7,Eredivisie,/az-alkmaar/startseite/verein/1090/saison_id/2022
139,Ajax Amsterdam,7,Eredivisie,/ajax-amsterdam/startseite/verein/610/saison_id/2022
140,Almere City FC,7,Eredivisie,/almere-city-fc/startseite/verein/723/saison_id/2022
141,Excelsior Rotterdam,7,Eredivisie,/sbv-excelsior-rotterdam/startseite/verein/798/saison_id/2022
142,FC Utrecht,7,Eredivisie,/fc-utrecht/startseite/verein/200/saison_id/2022
143,FC Volendam,7,Eredivisie,/fc-volendam/startseite/verein/724/saison_id/2022
144,Feyenoord Rotterdam,7,Eredivisie,/feyenoord-rotterdam/startseite/verein/234/saison_id/2022
145,Fortuna Sittard,7,Eredivisie,/fortuna-sittard/startseite/verein/385/saison_id/2022
146,Go Ahead Eagles,7,Eredivisie,/go-ahead-eagles-deventer/startseite/verein/1435/saison_id/2022
147,Heracles Almelo,7,Eredivisie,/heracles-almelo/startseite/verein/1304/saison_id/2022
148,NEC Nijmegen,7,Eredivisie,/nec-nijmegen/startseite/verein/467/saison_id/2022
149,PEC Zwolle,7,Eredivisie,/pec-zwolle/startseite/verein/1269/saison_id/2022
150,PSV Eindhoven,7,Eredivisie,/psv-eindhoven/startseite/verein/383/saison_id/2022
151,RKC Waalwijk,7,Eredivisie,/rkc-waalwijk/startseite/verein/235/saison_id/2022
152,SC Heerenveen,7,Eredivisie,/sc-heerenveen/startseite/verein/306/saison_id/2022
153,Sparta Rotterdam,7,Eredivisie,/sparta-rotterdam/startseite/verein/468/saison_id/2022
154,Twente Enschede FC,7,Eredivisie,/fc-twente-enschede/startseite/verein/317/saison_id/2022
155,Vitesse Arnhem,7,Eredivisie,/vitesse-arnheim/startseite/verein/499/saison_id/2022
