team_id,team_name,team_small_logo,team_url,league_id,league_name,league_nation,league_logo
35,Queens Park Rangers,https://tmssl.akamaized.net/images/wappen/tiny/1039.png?lm=1464680692,/queens-park-rangers/startseite/verein/1039/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
36,Rotherham United,https://tmssl.akamaized.net/images/wappen/tiny/1194.png?lm=1407655489,/rotherham-united/startseite/verein/1194/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
37,Sheffield Wednesday,https://tmssl.akamaized.net/images/wappen/tiny/1035.png?lm=1643214896,/sheffield-wednesday/startseite/verein/1035/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
38,Southampton FC,https://tmssl.akamaized.net/images/wappen/tiny/180.png?lm=1444560086,/fc-southampton/startseite/verein/180/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
39,Stoke City,https://tmssl.akamaized.net/images/wappen/tiny/512.png?lm=1472243727,/stoke-city/startseite/verein/512/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
40,Sunderland AFC,https://tmssl.akamaized.net/images/wappen/tiny/289.png?lm=1485645633,/afc-sunderland/startseite/verein/289/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
41,Swansea City,https://tmssl.akamaized.net/images/wappen/tiny/2288_1658400314.png?lm=1658400315,/swansea-city/startseite/verein/2288/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
42,Watford FC,https://tmssl.akamaized.net/images/wappen/tiny/1010.png?lm=1468103673,/fc-watford/startseite/verein/1010/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
43,West Bromwich Albion,https://tmssl.akamaized.net/images/wappen/tiny/984.png?lm=1457991758,/west-bromwich-albion/startseite/verein/984/saison_id/2022,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
44,Athletic Bilbao,https://tmssl.akamaized.net/images/wappen/tiny/621.png?lm=1565768743,/athletic-bilbao/startseite/verein/621/saison_id/2022,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
