team_id,team_name,team_logo_small_pic,team_logo_big_pic,league_id
87,Bologna FC 1909,https://tmssl.akamaized.net/images/wappen/small/1025.png?lm=1626441324,https://tmssl.akamaized.net/images/wappen/head/1025.png?lm=1626441324,4
88,Cagliari Calcio,https://tmssl.akamaized.net/images/wappen/small/1390.png?lm=1626441409,https://tmssl.akamaized.net/images/wappen/head/1390.png?lm=1626441409,4
89,FC Empoli,https://tmssl.akamaized.net/images/wappen/small/749.png?lm=1626441481,https://tmssl.akamaized.net/images/wappen/head/749.png?lm=1626441481,4
90,Frosinone Calcio,https://tmssl.akamaized.net/images/wappen/small/8970.png?lm=1438547543,https://tmssl.akamaized.net/images/wappen/head/8970.png?lm=1438547543,4
91,Genoa CFC,https://tmssl.akamaized.net/images/wappen/small/252.png?lm=1655305880,https://tmssl.akamaized.net/images/wappen/head/252.png?lm=1655305880,4
92,Hellas Verona,https://tmssl.akamaized.net/images/wappen/small/276.png?lm=1617228746,https://tmssl.akamaized.net/images/wappen/head/276.png?lm=1617228746,4
93,Inter Milan,https://tmssl.akamaized.net/images/wappen/small/46.png?lm=1618900989,https://tmssl.akamaized.net/images/wappen/head/46.png?lm=1618900989,4
94,Juventus FC,https://tmssl.akamaized.net/images/wappen/small/506.png?lm=1626441487,https://tmssl.akamaized.net/images/wappen/head/506.png?lm=1626441487,4
95,SS Lazio,https://tmssl.akamaized.net/images/wappen/small/398.png?lm=1601537785,https://tmssl.akamaized.net/images/wappen/head/398.png?lm=1601537785,4
96,SSC Napoli,https://tmssl.akamaized.net/images/wappen/small/6195.png?lm=1437135876,https://tmssl.akamaized.net/images/wappen/head/6195.png?lm=1437135876,4
97,Torino FC,https://tmssl.akamaized.net/images/wappen/small/416.png?lm=1438548174,https://tmssl.akamaized.net/images/wappen/head/416.png?lm=1438548174,4
98,US Lecce,https://tmssl.akamaized.net/images/wappen/small/1005.png?lm=1417104356,https://tmssl.akamaized.net/images/wappen/head/1005.png?lm=1417104356,4
