nation_id,nation_name,nation_flag_small_pic,nation_flag_big_pic
109,Sweden,https://tmssl.akamaized.net/images/flagge/small/147.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/147.png?lm=1520611569
110,Switzerland,https://tmssl.akamaized.net/images/flagge/small/148.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/148.png?lm=1520611569
111,The Gambia,https://tmssl.akamaized.net/images/flagge/small/52.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/52.png?lm=1520611569
112,Togo,https://tmssl.akamaized.net/images/flagge/small/168.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/168.png?lm=1520611569
113,Tunisia,https://tmssl.akamaized.net/images/flagge/small/173.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/173.png?lm=1520611569
114,Turkey,https://tmssl.akamaized.net/images/flagge/small/174.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/174.png?lm=1520611569
115,Ukraine,https://tmssl.akamaized.net/images/flagge/small/177.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/177.png?lm=1520611569
116,United States,https://tmssl.akamaized.net/images/flagge/small/184.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/184.png?lm=1520611569
117,Uruguay,https://tmssl.akamaized.net/images/flagge/small/179.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/179.png?lm=1520611569
118,Uzbekistan,https://tmssl.akamaized.net/images/flagge/small/180.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/180.png?lm=1520611569
119,Venezuela,https://tmssl.akamaized.net/images/flagge/small/182.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/182.png?lm=1520611569
120,Wales,https://tmssl.akamaized.net/images/flagge/small/191.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/191.png?lm=1520611569
121,Zambia,https://tmssl.akamaized.net/images/flagge/small/142.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/142.png?lm=1520611569
122,Zimbabwe,https://tmssl.akamaized.net/images/flagge/small/187.png?lm=1520611569,https://tmssl.akamaized.net/images/flagge/head/187.png?lm=1520611569
